Estructura,Patron,Repeticion,Tiempo_Construccion_ms,Tiempo_Busqueda_ms,Num_Ocurrencias,Documentos_Encontrados
FMI,databa,28,54815.5,86.704,1062,10
SA,databa,29,4324.77,0.069283,1062,10
FMI,databa,29,53050.5,83.6717,1062,10
SA,databa,30,4351.79,0.070214,1062,10
FMI,databa,30,53060.9,82.9351,1062,10
SA,algorithm,1,4287.09,0.182308,3038,10
FMI,algorithm,1,53325.4,216.953,3038,10
SA,algorithm,2,4286.19,0.189792,3038,10
FMI,algorithm,2,54141.4,216.445,3038,10
SA,algorithm,3,4210.99,0.179764,3038,10
FMI,algorithm,3,53880.4,215.391,3038,10
SA,algorithm,4,4382.02,0.175988,3038,10
FMI,algorithm,4,54613.2,218.436,3038,10
SA,algorithm,5,4282.55,0.176266,3038,10
FMI,algorithm,5,52920.2,221.856,3038,10
SA,algorithm,6,4365.15,0.239684,3038,10
FMI,algorithm,6,52946.3,215.55,3038,10
SA,algorithm,7,4306.46,0.21851,3038,10
FMI,algorithm,7,53178.5,235.241,3038,10
SA,algorithm,8,4382.53,0.228532,3038,10
FMI,algorithm,8,52765.9,213.83,3038,10
SA,algorithm,9,4364.07,0.200897,3038,10
FMI,algorithm,9,52910.8,216.213,3038,10
SA,algorithm,10,4219.98,0.198755,3038,10
FMI,algorithm,10,53316.4,217.546,3038,10
SA,algorithm,11,4241.62,0.177226,3038,10
FMI,algorithm,11,52639.8,231.868,3038,10
SA,algorithm,12,4274.59,0.2151,3038,10
FMI,algorithm,12,52765.6,223.409,3038,10
SA,algorithm,13,4329.04,0.195656,3038,10
FMI,algorithm,13,52828.5,225.181,3038,10
SA,algorithm,14,4342.32,0.176657,3038,10
FMI,algorithm,14,52867.7,213.364,3038,10
SA,algorithm,15,4386.38,0.173353,3038,10
FMI,algorithm,15,53075.3,229.785,3038,10
SA,algorithm,16,4254.5,0.176568,3038,10
FMI,algorithm,16,53945.8,221.191,3038,10
SA,algorithm,17,4330.64,0.191047,3038,10
FMI,algorithm,17,53391.8,240.217,3038,10
SA,algorithm,18,4335.63,0.176489,3038,10
FMI,algorithm,18,52917.1,216.979,3038,10
SA,algorithm,19,4258.09,0.17635,3038,10
FMI,algorithm,19,54228.8,218.564,3038,10
SA,algorithm,20,4476.56,0.220223,3038,10
FMI,algorithm,20,54012.1,220.724,3038,10
SA,algorithm,21,4222.45,0.176675,3038,10
FMI,algorithm,21,52787.7,214.682,3038,10
SA,algorithm,22,4253.11,0.256373,3038,10
FMI,algorithm,22,53215.9,215.873,3038,10
SA,algorithm,23,4207.56,0.172903,3038,10
FMI,algorithm,23,54982,219.276,3038,10
SA,algorithm,24,4336.37,0.178047,3038,10
FMI,algorithm,24,53418.1,213.929,3038,10
SA,algorithm,25,4337.69,0.177531,3038,10
FMI,algorithm,25,54281.6,216.513,3038,10
SA,algorithm,26,4260.91,0.197386,3038,10
FMI,algorithm,26,53832.9,220.682,3038,10
SA,algorithm,27,4282.19,0.196081,3038,10
FMI,algorithm,27,54315.8,232.147,3038,10
SA,algorithm,28,4322.63,0.178017,3038,10
FMI,algorithm,28,53547.8,219.208,3038,10
SA,algorithm,29,4334.64,0.283159,3038,10
FMI,algorithm,29,52596.8,220.339,3038,10
SA,algorithm,30,4328.45,0.242715,3038,10
FMI,algorithm,30,53471.4,221.704,3038,10
SA,computational,1,4338.47,0.044777,209,10
FMI,computational,1,53559.8,16.746,209,10
SA,computational,2,4357.36,0.02744,209,10
FMI,computational,2,54226.1,16.7404,209,10
SA,computational,3,4352.9,0.030316,209,10
FMI,computational,3,54229.7,17.5609,209,10
SA,computational,4,4334.54,0.040023,209,10
FMI,computational,4,53643.5,17.0886,209,10
SA,computational,5,4319.96,0.027843,209,10
FMI,computational,5,55717.1,16.2898,209,10
SA,computational,6,4351.8,0.027951,209,10
FMI,computational,6,54079.8,17.8232,209,10
SA,computational,7,4350.37,0.029333,209,10
FMI,computational,7,54086.7,17.173,209,10
SA,computational,8,4315.66,0.028729,209,10
FMI,computational,8,54897.7,18.0964,209,10
SA,computational,9,4394.31,0.029004,209,10
FMI,computational,9,54072.5,16.0453,209,10
SA,computational,10,4387.33,0.02847,209,10
FMI,computational,10,53519.4,15.8029,209,10
SA,computational,11,4252.76,0.027316,209,10
FMI,computational,11,54028.4,16.5636,209,10
SA,computational,12,4327.18,0.026687,209,10
FMI,computational,12,53541.8,17.6813,209,10
SA,computational,13,4444.12,0.028726,209,10
FMI,computational,13,53519,15.7542,209,10
SA,computational,14,4418.31,0.080403,209,10
FMI,computational,14,53942.3,16.2351,209,10
SA,computational,15,4297.24,0.090052,209,10
FMI,computational,15,54489.8,16.8228,209,10
SA,computational,16,4315.29,0.052596,209,10
FMI,computational,16,54009.4,17.1493,209,10
SA,computational,17,4299.88,0.028412,209,10
FMI,computational,17,53868.4,17.3846,209,10
SA,computational,18,4336.66,0.029242,209,10
FMI,computational,18,54186.3,15.9309,209,10
SA,computational,19,4327.05,0.027434,209,10
FMI,computational,19,54502.9,17.182,209,10
SA,computational,20,4312.68,0.044167,209,10
FMI,computational,20,54550.5,17.4029,209,10
SA,computational,21,4390.71,0.027948,209,10
FMI,computational,21,54511.3,17.6732,209,10
SA,computational,22,4359.94,0.027173,209,10
FMI,computational,22,53173,16.9363,209,10
SA,computational,23,4335.22,0.026484,209,10
FMI,computational,23,54162.6,15.9138,209,10
SA,computational,24,4333.67,0.02767,209,10
FMI,computational,24,53974.9,15.5247,209,10
SA,computational,25,4318.79,0.05731,209,10
FMI,computational,25,54177.6,17.8015,209,10
SA,computational,26,4383.75,0.028336,209,10
FMI,computational,26,52711.8,16.8289,209,10
SA,computational,27,4190.25,0.063049,209,10
FMI,computational,27,52507.5,15.4238,209,10
SA,computational,28,4226.78,0.029361,209,10
FMI,computational,28,53277.7,17.103,209,10
SA,computational,29,4327.89,0.039621,209,10
FMI,computational,29,53406.2,17.7855,209,10
SA,computational,30,4369.13,0.027382,209,10
FMI,computational,30,52301.9,15.9073,209,10
SA,XXYZ123abcXYZ,1,4201.53,0.011913,0,0
FMI,XXYZ123abcXYZ,1,54709.6,0.033504,0,0
SA,XXYZ123abcXYZ,2,4367.24,0.012002,0,0
FMI,XXYZ123abcXYZ,2,52342.4,0.032315,0,0
SA,XXYZ123abcXYZ,3,4229.03,0.011024,0,0
FMI,XXYZ123abcXYZ,3,53579.7,0.034275,0,0
SA,XXYZ123abcXYZ,4,4297.85,0.012013,0,0
FMI,XXYZ123abcXYZ,4,54158.8,0.031884,0,0
SA,XXYZ123abcXYZ,5,4258.56,0.010951,0,0
FMI,XXYZ123abcXYZ,5,53767.8,0.045312,0,0
SA,XXYZ123abcXYZ,6,4400.07,0.025807,0,0
FMI,XXYZ123abcXYZ,6,53114.5,0.032841,0,0
SA,XXYZ123abcXYZ,7,4312.98,0.039405,0,0
FMI,XXYZ123abcXYZ,7,52732.1,0.031863,0,0
SA,XXYZ123abcXYZ,8,4383.25,0.011648,0,0
FMI,XXYZ123abcXYZ,8,52994.9,0.031939,0,0
SA,XXYZ123abcXYZ,9,4252,0.012331,0,0
FMI,XXYZ123abcXYZ,9,52575.7,0.033088,0,0
SA,XXYZ123abcXYZ,10,4365.1,0.011016,0,0
FMI,XXYZ123abcXYZ,10,53274.5,0.032592,0,0
SA,XXYZ123abcXYZ,11,4223.56,0.010715,0,0
FMI,XXYZ123abcXYZ,11,52777.8,0.046311,0,0
SA,XXYZ123abcXYZ,12,4330.14,0.038789,0,0
FMI,XXYZ123abcXYZ,12,52816.6,0.031806,0,0
SA,XXYZ123abcXYZ,13,4287.06,0.011075,0,0
FMI,XXYZ123abcXYZ,13,52449.7,0.063192,0,0
SA,XXYZ123abcXYZ,14,4184.58,0.01179,0,0
FMI,XXYZ123abcXYZ,14,53890.8,0.032486,0,0
SA,XXYZ123abcXYZ,15,4181.4,0.011159,0,0
