dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
dblp_FM,550,56.6621,31165.2,1.76754e+06,589408,885591,1.27912e+06,1.75258e+06,2.10448e+06,3.33989e+06
dblp_FM,555,56.6621,31165.2,1.86511e+06,734913,715834,1.1994e+06,1.90096e+06,2.25173e+06,3.60786e+06
dblp_FM,560,56.6621,31165.2,1.81836e+06,960829,736446,1.28743e+06,1.55943e+06,2.10978e+06,5.44428e+06
dblp_FM,565,56.6621,31165.2,1.81294e+06,747063,837740,1.12032e+06,1.78323e+06,2.21446e+06,4.1163e+06
dblp_FM,570,56.6621,31165.2,1.20602e+06,387557,808136,955969,1.03863e+06,1.37026e+06,2.24964e+06
dblp_FM,575,56.6621,31165.2,1.10551e+06,308957,801367,905205,979912,1.1981e+06,2.20218e+06
dblp_FM,580,56.6621,31165.2,1.10483e+06,326912,845868,906520,972869,1.13984e+06,2.19952e+06
dblp_FM,585,56.6621,31165.2,2.00416e+06,1.5115e+06,844661,1.15826e+06,1.44235e+06,2.28366e+06,8.43146e+06
dblp_FM,590,56.6621,31165.2,1.73334e+06,683362,901168,1.21443e+06,1.54818e+06,2.03757e+06,3.71819e+06
dblp_FM,595,56.6621,31165.2,1.71459e+06,554886,940312,1.24507e+06,1.68228e+06,2.06952e+06,2.81938e+06
dblp_FM,600,56.6621,31165.2,2.36052e+06,580739,1.26376e+06,2.12657e+06,2.31122e+06,2.60518e+06,4.02916e+06
dblp_FM,605,56.6621,31165.2,2.62903e+06,1.25659e+06,1.1852e+06,1.98558e+06,2.37368e+06,2.76617e+06,8.11628e+06
dblp_FM,610,56.6621,31165.2,2.50172e+06,442146,1.68307e+06,2.20973e+06,2.51188e+06,2.77848e+06,3.49841e+06
dblp_FM,615,56.6621,31165.2,1.4236e+06,348446,924071,1.13239e+06,1.34824e+06,1.68364e+06,2.20263e+06
dblp_FM,620,56.6621,31165.2,1.27402e+06,362742,647389,1.01665e+06,1.17411e+06,1.51909e+06,2.05042e+06
dblp_FM,625,56.6621,31165.2,1.38949e+06,1.16506e+06,818930,992212,1.07212e+06,1.30321e+06,7.59325e+06
dblp_FM,630,56.6621,31165.2,1.04422e+06,157425,842636,945796,1.01224e+06,1.08516e+06,1.62064e+06
dblp_FM,635,56.6621,31165.2,1.14044e+06,273773,876080,947148,1.04434e+06,1.27216e+06,2.09063e+06
dblp_FM,640,56.6621,31165.2,1.08878e+06,176815,805234,969317,1.0454e+06,1.15567e+06,1.65503e+06
dblp_FM,645,56.6621,31165.2,1.0971e+06,342659,827052,939811,966089,1.15103e+06,2.70344e+06
dblp_FM,650,56.6621,31165.2,1.1353e+06,297977,902203,970832,1.03679e+06,1.14743e+06,2.2113e+06
dblp_FM,655,56.6621,31165.2,1.37583e+06,562547,843854,976772,1.14821e+06,1.51226e+06,3.25275e+06
dblp_FM,660,56.6621,31165.2,1.61788e+06,566322,942498,1.1407e+06,1.62056e+06,1.89781e+06,3.0524e+06
dblp_FM,665,56.6621,31165.2,2.34622e+06,802380,998734,1.86045e+06,2.33874e+06,2.6904e+06,4.4126e+06
dblp_FM,670,56.6621,31165.2,2.55144e+06,728193,1.48818e+06,2.12307e+06,2.37844e+06,2.9112e+06,4.99403e+06
dblp_FM,675,56.6621,31165.2,3.49798e+06,1.88334e+06,926234,2.77184e+06,3.13478e+06,3.72096e+06,1.19116e+07
dblp_FM,680,56.6621,31165.2,2.33091e+06,1.87647e+06,1.18646e+06,1.55339e+06,1.7589e+06,2.35917e+06,1.14092e+07
dblp_FM,685,56.6621,31165.2,1.88859e+06,1.49371e+06,979384,1.37345e+06,1.64812e+06,1.91945e+06,9.83004e+06
dblp_FM,690,56.6621,31165.2,1.59773e+06,419976,1.07501e+06,1.32566e+06,1.50128e+06,1.76517e+06,2.72758e+06
dblp_FM,695,56.6621,31165.2,1.14157e+06,180384,909128,1.01663e+06,1.11344e+06,1.17335e+06,1.68041e+06
