dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
dblp_SA,890,400,11131,92764.9,29369.7,62721,75103,87296,98933.5,219513
dblp_SA,895,400,11131,94580.2,31988.4,61105,74459.8,84633,105567,194945
dblp_SA,900,400,11131,110173,55878.4,61918,75468.5,89502.5,126599,313058
dblp_SA,905,400,11131,84927.3,21333.9,59997,69051.8,79698,98069.8,157322
dblp_SA,910,400,11131,103722,41646,63850,82523.8,87612,109156,245335
dblp_SA,915,400,11131,88160.3,14309.6,66859,77937.2,84003,98588,119242
dblp_SA,920,400,11131,86571.3,12819.1,67743,76551.5,85299,92283,121987
dblp_SA,925,400,11131,99534.8,20578.4,70478,84379.2,93380,109368,151233
dblp_SA,930,400,11131,103267,18692.1,67327,90038.8,102052,117180,137895
dblp_SA,935,400,11131,102175,15264.5,78010,90994,99378.5,110919,141545
dblp_SA,940,400,11131,101211,25408.1,66259,81533.2,99144.5,116261,195117
dblp_SA,945,400,11131,93948.8,21803.3,71636,78101.5,85558.5,106395,156590
dblp_SA,950,400,11131,93865.4,14469.6,64815,84429.5,93294.5,108192,123999
dblp_SA,955,400,11131,84417.2,17931.8,63727,69713.2,82030.5,93327,126206
dblp_SA,960,400,11131,82883.7,16865.3,61695,69128.2,80735,89498,131206
dblp_SA,965,400,11131,92417.9,24150.3,62132,77352.5,86432,100872,182816
dblp_SA,970,400,11131,83162.6,17115.3,66025,72914.8,79164.5,86000.5,144747
dblp_SA,975,400,11131,82451.2,18116.8,63769,69382.8,74635,97782.8,121875
dblp_SA,980,400,11131,83355.9,17384.7,66584,71738.2,74305.5,92102.2,126358
dblp_SA,985,400,11131,83274.2,14369.7,66502,72170.5,79215,90849.5,116152
dblp_SA,990,400,11131,84026.4,15723.7,65843,70449.8,80374,93337.5,134714
dblp_SA,995,400,11131,87679.7,14604,67967,74589,87078,95743.5,126673
dblp_SA,1000,400,11131,167145,328540,68261,94316,112004,120835,1.96273e+06
